Name	Code	Symbol	Protocol/Standard
0x	ZRX	Ѳ	ERC-20
1inch	1INCH	Ī	ERC-20
Aave	AAVE	Å	ERC-20
Aavegotchi	GHST	Ǎ	ERC-20
Algorand	ALGO	Ⱥ	Algorand
Ankr	ANKR	ᥑ	ERC-20
Aragon	ANT	ȁ	ERC-20
Augur	REP	Ɍ	ERC-20
Augur v2	REPV2	ɍ	ERC-20
Axie Infinity	AXS	Ą	ERC-20
Badger DAO	BADGER	ƃ	ERC-20
Balancer	BAL	ᙖ	ERC-20
Bancor	BNT	ߕ	Bancor
Band Protocol	BAND	ḃ	ERC-20
Basic Attention Token	BAT	⟁	ERC-20
Bitcoin	BTC	₿	Bitcoin
Bitcoin Cash	BCH	฿	Bitcoin Cash
Cardano	ADA	₳	Cardano
Cartesi	CTSI	Ĉ	ERC-20
Chainlink	LINK	⬡	ERC-20
Chiliz	CHZ	Ç	ERC-20
Compound	COMP	Ꮯ	ERC-20
Cosmos	ATOM	⚛	Cosmos
Covalent	CQT	Ͼ	ERC-20
Curve	CRV	ᑕ	ERC-20
Dai*	DAI	⬙	ERC-20
Dash	DASH	Đ	Dash
Decentraland	MANA	Ɯ	ERC-20
Dogecoin	DOGE	Ð	Dogecoin
dYdX	DYDX	Ɖ	ERC-20
Energy Web Token	EWT	𐀥	Energy Web
Enjin Coin	ENJ	Ё	ERC-20
Enzyme Finance	MLN	M	ERC-20
EOS	EOS	Ȅ	EOS
Ethereum ("Ether")	ETH	Ξ	Ethereum
Ethereum Classic	ETC	ξ	Ethereum Classic
Filecoin	FIL	ƒ	Filecoin
Flow	FLOW	𝔽	Flow
Gnosis	GNO	Ğ	ERC-20
ICON	ICX	𝗜	ICON
Injective Protocol	INJ	ĳ	ERC-20
Karura	KAR	ǩ	Kusama
Kava	KAVA	Ҝ	Kava
Keep Network	KEEP	ķ	ERC-20
Kusama	KSM	Ķ	Kusama
Kyber Network	KNC	Ƙ	ERC-20
Lisk	LSK	Ⱡ	Lisk
Litecoin	LTC	Ł	Litecoin
Livepeer	LPT	Հ	ERC-20
Loopring	LRC	Ł	ERC-20
Maker	MKR	ߘ	ERC-20
Mina	MINA	ɱ	Mina
Mirror Protocol	MIR	ṁ	ERC-20
Monero	XMR	ɱ	Monero
Moonriver	MOVR	Ṁ	Kusama
Nano	NANO	𝑁	Nano
Ocean	OCEAN	海	ERC-20
OmiseGO	OMG	Ŏ	ERC-20
Orchid	OXT	Ö	ERC-20
Origin Protocol	OGN	Ø	ERC-20
Oxygen	OXY	Ő	SPL
PAX Gold	PAXG	ⓟ	ERC-20
Perpetual Protocol	PERP	Þ	ERC-20
Polkadot	DOT	●	Polkadot
Polygon	MATIC	փ	ERC-20
Qtum	QTUM	ℚ	Qtum
REN Protocol	REN	ཉ	ERC-20
Rarible	RARI	੪	ERC-20
Raydium	RAY	Ŗ	SPL
Ripple	XRP	Ʀ	Ripple
Serum	SRM	ƌ	SPL
Shiden	SDN	ɀ	Kusama
Siacoin	SC	S	Siacoin
Solana	SOL	ƍ	Solana
Stellar Lumens	XLM	*	Stellar Lumens
Storj	STORJ	Ŝ	ERC-20
Sushi	SUSHI	ક	ERC-20
Synthetix	SNX	Š	ERC-20
tBTC	TBTC	t₿	ERC-20
Tether*	USDT	₮	Omni, ERC-20, TRC-20
Tezos	XTZ	ꜩ	Tezos
The Graph	GRT	⌗	ERC-20
The Sandbox	SAND	Տ	ERC-20
Tron	TRX	Ť	Tron
Uniswap	UNI	Ǖ	ERC-20
USD Coin*	USDC	ⓒ	ERC-20
WAVES	WAVES	♦	WAVES
Wrapped Bitcoin	WBTC	 w₿ 	ERC-20
Yearn Finance	YFI	Ƴ	ERC-20
Zcash	ZEC	ⓩ	Zcash
