,XMLNZEUR,GNOEUR,NANOEUR,SCEUR,LSKEUR,MKREUR,GHSTEUR,PERPEUR,LRCEUR,MOVREUR,SDNEUR
1630793727.9587796,94.604000,260.630000,5.713090,0.019290,3.552917,3029.10000,1.599200,16.17900,0.429400,116.166400,4.94500
1630793759.3287036,94.604000,260.630000,5.713090,0.019290,3.552917,3029.10000,1.599200,16.17900,0.430500,116.166400,4.91000
1630793790.6846983,94.604000,260.630000,5.713090,0.019290,3.552917,3029.10000,1.599200,16.17900,0.430500,114.743600,4.93900
1630793822.0367234,94.604000,260.630000,5.720951,0.019290,3.552917,3029.10000,1.599200,16.17900,0.430500,114.023000,4.93900
1630793853.4087162,94.604000,260.630000,5.708594,0.019290,3.552917,3029.10000,1.599200,16.17900,0.430500,114.023000,4.93900
1630793884.7856374,94.604000,260.630000,5.708594,0.019290,3.552917,3029.10000,1.599200,16.17900,0.430500,114.023000,4.93900
1630793916.144677,94.604000,260.630000,5.708028,0.019250,3.552917,3029.10000,1.599200,16.17900,0.430500,114.023000,4.93900
1630793947.538141,94.604000,260.630000,5.708028,0.019250,3.552917,3029.10000,1.599200,16.17900,0.429200,114.023000,4.91000
1630793978.9185927,94.604000,260.630000,5.708028,0.019250,3.552917,3029.10000,1.599200,16.17900,0.429200,115.743400,4.91000
1630794010.2647052,94.604000,260.630000,5.708028,0.019250,3.552917,3029.10000,1.599200,16.17900,0.429200,115.743400,4.91000
1630794041.6806839,94.604000,260.630000,5.708028,0.019250,3.552917,3029.10000,1.599200,16.17900,0.429200,115.743400,4.91000
1630794073.0646937,94.604000,260.630000,5.708028,0.019220,3.552917,3029.10000,1.599200,16.17900,0.429200,115.743400,4.91000
1630794104.4206958,94.604000,260.630000,5.708028,0.019220,3.552917,3029.10000,1.599200,16.17900,0.429200,115.750000,4.91000
1630794135.7739582,94.604000,260.630000,5.708028,0.019220,3.554297,3029.10000,1.599200,16.17900,0.429200,115.750000,4.91000
1630794167.1220195,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.599200,16.17900,0.429200,115.750000,4.91000
1630794198.5073318,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.599200,16.17900,0.429200,115.750000,4.94000
1630794229.8526828,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.599200,16.17900,0.429200,115.750000,4.94000
1630794261.2259896,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.596100,16.20400,0.429200,115.756300,4.91000
1630794292.5926898,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.596100,16.20400,0.429200,115.756300,4.91000
1630794323.9526846,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.596100,16.20400,0.429200,115.756300,4.90500
1630794355.3594375,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.596100,16.20400,0.430500,115.756300,4.90500
1630794386.767425,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.596100,16.20400,0.430500,115.756300,4.90500
1630794418.1381347,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.596100,16.20400,0.430500,115.756300,4.93900
1630794449.5068235,94.604000,260.630000,5.718395,0.019160,3.554297,3029.10000,1.596100,16.20400,0.430500,115.756300,4.90200
1630794480.8806841,94.604000,260.630000,5.718395,0.019210,3.554297,3029.10000,1.596100,16.20400,0.431200,115.756400,4.94000
1630794512.2942963,94.604000,260.630000,5.718395,0.019210,3.554297,3029.10000,1.596100,16.20400,0.431200,115.756400,4.94000
1630794543.7286975,94.604000,260.630000,5.718395,0.019210,3.554297,3029.10000,1.596100,16.20400,0.431800,115.756400,4.90200
1630794575.1095493,94.604000,260.630000,5.718395,0.019210,3.554297,3029.10000,1.596100,16.20400,0.431800,115.756400,4.90200
1630794606.5006938,94.604000,260.630000,5.718395,0.019210,3.554297,3029.10000,1.596100,16.20400,0.431800,115.756400,4.90200
1630794637.9121423,94.604000,260.630000,5.718395,0.019210,3.554297,3029.10000,1.596100,16.20400,0.431800,115.756400,4.90200
1630794669.2792103,94.604000,260.630000,5.718395,0.019210,3.554297,3029.10000,1.596100,16.20400,0.431800,115.756400,4.90200
1630794700.6707797,94.604000,260.630000,5.718395,0.019170,3.554297,3029.10000,1.596100,16.20400,0.431800,115.955700,4.94000
1630794732.0086837,94.604000,260.630000,5.718395,0.019190,3.541919,3018.40000,1.596100,16.20400,0.431800,115.955700,4.94000
1630794763.360883,94.604000,260.630000,5.718395,0.019190,3.541919,3018.40000,1.596100,16.20400,0.431800,115.955700,4.94000
1630794794.7726955,94.604000,260.630000,5.718395,0.019190,3.541919,3018.40000,1.596100,16.20400,0.431800,115.955700,4.94000
1630794826.1287577,94.604000,260.630000,5.718395,0.019130,3.541919,3018.40000,1.596100,16.20400,0.431800,115.955700,4.94000
1630794857.5726871,94.604000,260.630000,5.718395,0.019100,3.541919,3015.30000,1.596100,16.20400,0.431800,115.955700,4.92900
1630794888.9647136,94.604000,260.630000,5.718395,0.019080,3.541919,3015.30000,1.596100,16.20400,0.431800,115.955700,4.90200
1630794920.3381376,94.604000,260.630000,5.725164,0.019080,3.541919,3015.30000,1.596100,16.20400,0.431800,115.955700,4.90200
1630794951.7128882,94.604000,260.630000,5.725164,0.019080,3.541919,3015.30000,1.596100,16.20400,0.431800,115.955700,4.94000
1630794983.067978,94.604000,260.630000,5.725164,0.019080,3.536512,3015.30000,1.596100,16.20400,0.431800,115.955700,4.94000
1630795014.4358432,94.604000,260.630000,5.725164,0.019080,3.536512,3015.30000,1.596100,16.20400,0.431800,115.955700,4.94000
1630795045.812687,94.604000,260.630000,5.725164,0.019080,3.536512,3015.30000,1.596100,16.20400,0.431800,115.955700,4.94000
1630795077.1486907,94.604000,260.630000,5.725164,0.019080,3.536512,3015.30000,1.596100,16.20400,0.431400,115.955700,4.94000
1630795108.5904567,94.604000,260.630000,5.718849,0.019070,3.536512,3015.30000,1.596100,16.20400,0.431400,115.955700,4.90200
1630795139.973632,94.604000,260.630000,5.718849,0.019070,3.536512,3015.30000,1.596100,16.20400,0.431400,115.955700,4.96500
1630795171.3381262,94.604000,260.630000,5.713547,0.018980,3.536512,3000.00000,1.596100,16.20400,0.431400,115.955700,4.99000
1630795202.6606936,94.604000,260.630000,5.694432,0.019000,3.536512,3000.00000,1.596100,16.20400,0.431400,115.955700,4.99000
1630795234.0848913,94.604000,260.630000,5.694432,0.019000,3.536512,3006.90000,1.596100,16.20400,0.431400,115.955700,4.99000
1630795265.4527144,94.604000,260.630000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.431400,115.955700,4.99000
1630795296.8086934,94.604000,260.630000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.431400,115.955700,4.93900
1630795328.1647007,94.604000,260.630000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.431400,115.955700,4.93900
1630795359.516701,94.604000,260.630000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.431400,115.955700,4.90300
1630795390.8686929,94.604000,260.630000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.431400,115.925000,4.90300
1630795422.210278,94.604000,260.580000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.431400,115.925000,4.90300
1630795453.6407144,94.604000,260.580000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.430000,115.925000,4.90200
1630795484.9835322,94.604000,260.580000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.430000,115.925000,4.90200
1630795516.3383338,94.604000,260.580000,5.694432,0.018960,3.536512,3008.80000,1.596100,16.20400,0.430000,115.925000,4.90200
1630795547.7207026,94.604000,260.580000,5.691475,0.019020,3.536512,3008.80000,1.596100,16.20400,0.430000,114.261500,4.90200
1630795579.056692,94.604000,260.580000,5.691475,0.019040,3.536512,3008.80000,1.596100,16.20400,0.430000,114.261500,4.99000
1630795610.4710016,94.604000,260.580000,5.691475,0.019040,3.536512,3008.80000,1.596100,16.20400,0.430000,114.261500,4.99000
1630795641.8408737,94.604000,260.580000,5.691475,0.019040,3.536512,3008.80000,1.596100,16.20400,0.430000,115.923600,4.98900
1630795673.1932116,94.604000,260.580000,5.691475,0.019040,3.536512,3008.80000,1.596100,16.20400,0.431500,115.923600,4.98900
1630795704.5407083,94.604000,260.580000,5.691475,0.019040,3.536512,3008.80000,1.596100,16.20400,0.431500,115.923600,4.98900
1630795735.9688592,94.604000,260.580000,5.691475,0.019040,3.536512,3008.80000,1.596100,16.20400,0.431500,115.923600,4.98900
1630795767.3807595,94.604000,260.580000,5.691475,0.019040,3.536512,3008.80000,1.596100,16.20400,0.431500,115.923600,4.98900
1630795798.7727227,94.604000,260.580000,5.691475,0.019020,3.536512,3008.80000,1.596100,16.20400,0.431500,115.922800,4.99000
1630795830.1883016,94.604000,260.580000,5.691475,0.019020,3.536512,3008.80000,1.596100,16.20400,0.431500,115.922300,4.99000
1630795861.5381467,94.604000,260.580000,5.691475,0.019020,3.536512,3008.80000,1.596100,16.20400,0.431500,115.922300,5.02000
1630795892.8856878,94.604000,260.580000,5.691475,0.019020,3.536512,3008.80000,1.596100,16.20400,0.431500,115.922300,5.02900
1630795924.2566843,94.604000,260.580000,5.691475,0.018970,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,5.02900
1630795955.6127093,94.604000,260.580000,5.691475,0.018970,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,4.94400
1630795987.0749238,94.604000,260.580000,5.691475,0.018970,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,5.02900
1630796018.4607098,94.604000,260.580000,5.691475,0.018950,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,5.02900
1630796049.838758,94.604000,260.580000,5.691475,0.018940,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,5.02900
1630796081.6015596,94.604000,260.580000,5.691475,0.018950,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,4.94400
1630796113.0087178,94.604000,262.100000,5.691475,0.018950,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,5.02900
1630796144.3607092,94.604000,262.100000,5.709825,0.018950,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,5.02900
1630796175.7286825,94.604000,262.100000,5.709825,0.018950,3.536512,3008.80000,1.596100,16.20400,0.430400,115.922300,5.02500
